date,price
04/01/2021,40.509998
05/01/2021,41.66
06/01/2021,42.98
07/01/2021,43.32
08/01/2021,43.060001
11/01/2021,45.009998
12/01/2021,47.82
13/01/2021,48.73
14/01/2021,51.529999
15/01/2021,49.970001
19/01/2021,54.84
20/01/2021,55.860001
21/01/2021,55.080002
22/01/2021,55.400002
25/01/2021,53.389999
26/01/2021,52.040001
27/01/2021,49.34
28/01/2021,51.040001
29/01/2021,50.68
01/02/2021,51.509998
02/02/2021,52.720001
03/02/2021,54.25
04/02/2021,54.130001
05/02/2021,54.41
08/02/2021,56.880001
09/02/2021,56.060001
10/02/2021,54.880001
11/02/2021,53.5
12/02/2021,53.599998
16/02/2021,53.459999
17/02/2021,52.889999
18/02/2021,52.16
19/02/2021,52.57
22/02/2021,51.98
23/02/2021,51.110001
24/02/2021,52.900002
25/02/2021,50.599998
26/02/2021,51.330002
01/03/2021,52.540001
02/03/2021,54.110001
03/03/2021,52.669998
04/03/2021,51.830002
05/03/2021,53.75
08/03/2021,54.98
09/03/2021,54.650002
10/03/2021,56.830002
11/03/2021,56.330002
12/03/2021,59.259998
15/03/2021,57.939999
16/03/2021,57.119999
17/03/2021,60.049999
18/03/2021,59.27
19/03/2021,59.82
22/03/2021,58.099998
23/03/2021,56.16
24/03/2021,55.810001
25/03/2021,56.599998
26/03/2021,56.52
29/03/2021,55.939999
30/03/2021,58.509998
31/03/2021,57.459999
01/04/2021,57.799999
05/04/2021,61.040001
06/04/2021,61.939999
07/04/2021,60.830002
08/04/2021,60.09
09/04/2021,60.16
12/04/2021,59.66
13/04/2021,58.490002
14/04/2021,58.48
15/04/2021,58.610001
16/04/2021,58.709999
19/04/2021,57.880001
20/04/2021,55.77
21/04/2021,57.490002
22/04/2021,56.66
23/04/2021,57.529999
26/04/2021,58.209999
27/04/2021,58.970001
28/04/2021,58.549999
29/04/2021,56.57
30/04/2021,57.220001
03/05/2021,57.150002
04/05/2021,55.34
05/05/2021,57.580002
06/05/2021,58.720001
07/05/2021,58.990002
10/05/2021,57.41
11/05/2021,55.73
12/05/2021,53.759998
13/05/2021,54.599998
14/05/2021,56
17/05/2021,56.040001
18/05/2021,55.889999
19/05/2021,55.529999
20/05/2021,55.509998
21/05/2021,56.720001
24/05/2021,56.599998
25/05/2021,56.759998
26/05/2021,58.080002
27/05/2021,59.77
28/05/2021,59.310001
01/06/2021,59.650002
02/06/2021,59.650002
03/06/2021,63.459999
04/06/2021,63.369999
07/06/2021,63.23
08/06/2021,63.919998
09/06/2021,62.77
10/06/2021,61.34
11/06/2021,61.490002
14/06/2021,60.790001
15/06/2021,60.810001
16/06/2021,61.759998
17/06/2021,60.080002
18/06/2021,58.759998
21/06/2021,59.299999
22/06/2021,59.240002
23/06/2021,60.119999
24/06/2021,60.040001
25/06/2021,60.299999
28/06/2021,58.639999
29/06/2021,58.830002
30/06/2021,59.169998
01/07/2021,59.110001
02/07/2021,58.959999
06/07/2021,57.459999
07/07/2021,56.59
08/07/2021,56.060001
09/07/2021,58.759998
12/07/2021,58.970001
13/07/2021,58.73
14/07/2021,58
15/07/2021,56.950001
16/07/2021,55.459999
19/07/2021,54.18
20/07/2021,56.150002
21/07/2021,57.049999
22/07/2021,55.639999
23/07/2021,54.939999
26/07/2021,55.77
27/07/2021,55
28/07/2021,55.490002
29/07/2021,57.279999
30/07/2021,56.84
02/08/2021,57.029999
03/08/2021,57.880001
04/08/2021,52.720001
05/08/2021,54.439999
06/08/2021,55.049999
09/08/2021,53.950001
10/08/2021,54.259998
11/08/2021,54.27
12/08/2021,54.619999
13/08/2021,53.650002
16/08/2021,52.950001
17/08/2021,50.470001
18/08/2021,50.84
19/08/2021,49.080002
20/08/2021,48.799999
23/08/2021,48.18
24/08/2021,49.57
25/08/2021,49.700001
26/08/2021,48.619999
27/08/2021,49.799999
30/08/2021,49.169998
31/08/2021,49.009998
01/09/2021,49.110001
02/09/2021,48.950001
03/09/2021,48.82
07/09/2021,48.720001
08/09/2021,48.970001
09/09/2021,48.419998
10/09/2021,49.490002
13/09/2021,50.82
14/09/2021,50.740002
15/09/2021,51.82
16/09/2021,51.52
17/09/2021,51.330002
20/09/2021,49.369999
21/09/2021,49.369999
22/09/2021,50.779999
23/09/2021,51.919998
24/09/2021,52.23
27/09/2021,53.240002
28/09/2021,52.849998
29/09/2021,52.93
30/09/2021,52.709999
01/10/2021,53.130001
04/10/2021,53.98
05/10/2021,54.34
06/10/2021,53.93
07/10/2021,56.439999
08/10/2021,58.57
11/10/2021,58.09
12/10/2021,58.959999
13/10/2021,57.77
14/10/2021,57.689999
15/10/2021,58
18/10/2021,56.889999
19/10/2021,56.849998
20/10/2021,57.669998
21/10/2021,58.41
22/10/2021,57.77
25/10/2021,57.759998
26/10/2021,57.369999
27/10/2021,54.259998
28/10/2021,54.240002
29/10/2021,54.43
01/11/2021,55.490002
02/11/2021,55.59
03/11/2021,56
04/11/2021,58.639999
05/11/2021,58.52
08/11/2021,59.599998
09/11/2021,58.619999
10/11/2021,59.27
11/11/2021,61.82
12/11/2021,63.400002
15/11/2021,62.970001
16/11/2021,62.610001
17/11/2021,64.610001
18/11/2021,62.330002
19/11/2021,61.799999
22/11/2021,64.059998
23/11/2021,63.049999
24/11/2021,62.189999
26/11/2021,60.169998
29/11/2021,59.860001
30/11/2021,57.869999
01/12/2021,58.060001
02/12/2021,61.02
03/12/2021,59.709999
06/12/2021,59.84
07/12/2021,61.529999
08/12/2021,60.779999
09/12/2021,59.619999
10/12/2021,63.209999
13/12/2021,59.130001
14/12/2021,58.400002
15/12/2021,58.610001
16/12/2021,58.389999
17/12/2021,55.16
20/12/2021,54.040001
21/12/2021,54.790001
22/12/2021,56.080002
23/12/2021,56.91
27/12/2021,57.43
28/12/2021,57.110001
29/12/2021,57.23
30/12/2021,58.130001
