Posting Date,B/S Unit,B/S Unit Name,Department Code,Department Name,Amount
31/01/2022,21010,Dundori Road,3100,Construction,1076418
31/01/2022,21010,Dundori Road,1150,Sales Field Service,1003465
31/01/2022,21010,Dundori Road,5030,Dispatch,770242
31/01/2022,21010,Dundori Road,4100,Human Resource,451395
31/01/2022,21010,Dundori Road,5070,Stores,448625
31/01/2022,21010,Dundori Road,1160,Sales Workshop,244153
31/01/2022,23020,Eldoret,1080,Sales Retail,170813
31/01/2022,25010,Mombasa,1080,Sales Retail,131350
31/01/2022,23030,Kisumu,1080,Sales Retail,100725
31/01/2022,21010,Dundori Road,3050,Fabrication Welding,89790
31/01/2022,22010,Westlands,1080,Sales Retail,66902
31/01/2022,21010,Dundori Road,5050,Product Management,54900
31/01/2022,22020,Downtown,1080,Sales Retail,53525
31/01/2022,25030,Diani,1080,Sales Retail,51150
31/01/2022,24130,Wajir,1080,Sales Retail,47910
31/01/2022,23050,Naivasha,1080,Sales Retail,43750
31/01/2022,24010,Thika,1080,Sales Retail,43717
31/01/2022,24150,Wote,1080,Sales Retail,43578
31/01/2022,23070,Lodwar,1080,Sales Retail,42850
31/01/2022,21010,Dundori Road,5020,Procurement,41700
31/01/2022,22040,Kiambu,1080,Sales Retail,40250
31/01/2022,24020,Meru,1080,Sales Retail,38377
31/01/2022,22050,Rongai,1080,Sales Retail,34877
31/01/2022,23040,Kisii,1080,Sales Retail,34827
31/01/2022,25080,Mtwapa,1080,Sales Retail,29600
31/01/2022,23090,Bungoma,1080,Sales Retail,29350
31/01/2022,21010,Dundori Road,3210,Branch Management Support,29138
31/01/2022,21010,Dundori Road,4090,Marketing,27450
31/01/2022,21010,Dundori Road,4080,Group IT,24125
31/01/2022,23110,Kericho,1080,Sales Retail,23815
31/01/2022,25070,Mombasa Downtown,1080,Sales Retail,22050
31/01/2022,23060,Kakamega,1080,Sales Retail,16950
31/01/2022,23010,Nakuru,1080,Sales Retail,16300
31/01/2022,24140,Isiolo,1080,Sales Retail,13700
31/01/2022,22080,Githurai,1080,Sales Retail,7000
31/01/2022,24090,Nyeri,1080,Sales Retail,4200
28/02/2022,21010,Dundori Road,5070,Stores,1274974
28/02/2022,21010,Dundori Road,1150,Sales Field Service,1234154
28/02/2022,21010,Dundori Road,3100,Construction,1026379
28/02/2022,21010,Dundori Road,4100,Human Resource,508310
28/02/2022,25010,Mombasa,1080,Sales Retail,222550
28/02/2022,23030,Kisumu,1080,Sales Retail,171879
28/02/2022,23020,Eldoret,1080,Sales Retail,136097
28/02/2022,21010,Dundori Road,1160,Sales Workshop,122702
28/02/2022,21010,Dundori Road,3050,Fabrication Welding,112583
28/02/2022,23010,Nakuru,1080,Sales Retail,79253
28/02/2022,21010,Dundori Road,5020,Procurement,58685
28/02/2022,21010,Dundori Road,5050,Product Management,52963
28/02/2022,22010,Westlands,1080,Sales Retail,51785
28/02/2022,22020,Downtown,1080,Sales Retail,49612
28/02/2022,23050,Naivasha,1080,Sales Retail,47069
28/02/2022,25030,Diani,1080,Sales Retail,45128
28/02/2022,23070,Lodwar,1080,Sales Retail,44378
28/02/2022,24010,Thika,1080,Sales Retail,42669
28/02/2022,25020,Malindi,1080,Sales Retail,42109
28/02/2022,24030,Garissa,1080,Sales Retail,38219
28/02/2022,23040,Kisii,1080,Sales Retail,38042
28/02/2022,24140,Isiolo,1080,Sales Retail,36867
28/02/2022,21010,Dundori Road,4050,Internal Audit,35750
28/02/2022,22050,Rongai,1080,Sales Retail,32012
28/02/2022,24150,Wote,1080,Sales Retail,31869
28/02/2022,24020,Meru,1080,Sales Retail,31869
28/02/2022,21010,Dundori Road,4090,Marketing,28710
28/02/2022,21010,Dundori Road,4080,Group IT,27065
28/02/2022,21010,Dundori Road,4040,Accounts,26503
28/02/2022,23060,Kakamega,1080,Sales Retail,25990
28/02/2022,22040,Kiambu,1080,Sales Retail,25378
28/02/2022,21010,Dundori Road,3060,Research & Development,25378
28/02/2022,23090,Bungoma,1080,Sales Retail,24928
28/02/2022,25070,Mombasa Downtown,1080,Sales Retail,22050
28/02/2022,21010,Dundori Road,5030,Dispatch,18200
28/02/2022,24050,Kitengela,1080,Sales Retail,17200
28/02/2022,23120,Nyahururu,1080,Sales Retail,15700
28/02/2022,23110,Kericho,1080,Sales Retail,14800
28/02/2022,25080,Mtwapa,1080,Sales Retail,13700
28/02/2022,24090,Nyeri,1080,Sales Retail,10225
28/02/2022,21010,Dundori Road,4020,Legal & Compliance,4850
31/12/2021,21010,Dundori Road,3100,Construction,1422571
31/12/2021,21010,Dundori Road,1150,Sales Field Service,1329824
31/12/2021,21010,Dundori Road,5070,Stores,1232154
